date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:17	513674/513674	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:18%20GMT	https://www.flipkart.com/mens-clothing/suits-blazers/suits/pr?sid=2oq,s9b,q9f,uf9&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/mens-clothing/suits-blazers/suits/pr46b6.html	(from https://www.flipkart.com/)
12:32:19	637504/637504	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:20%20GMT	https://www.flipkart.com/men/trousers/pr?sid=2oq,s9b,9uj&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/men/trousers/prc3d1.html	(from https://www.flipkart.com/)
12:32:22	549438/549438	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:23%20GMT	https://www.flipkart.com/mens-clothing/suits-blazers/blazers/pr?sid=2oq,s9b,q9f,gev&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/mens-clothing/suits-blazers/blazers/prbe5f.html	(from https://www.flipkart.com/)
12:32:25	455469/455469	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:25%20GMT	https://www.flipkart.com/q/levis-jeans?otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/q/levis-jeans4fc7.html	(from https://www.flipkart.com/)
12:32:27	512185/512185	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:28%20GMT	https://www.flipkart.com/mens-clothing/winter-seasonal-wear/sweaters/pr?sid=2oq,s9b,qgu,l8m&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/mens-clothing/winter-seasonal-wear/sweaters/prad69.html	(from https://www.flipkart.com/)
12:32:29	434196/434196	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:30%20GMT	https://www.flipkart.com/mens-clothing/ethnic-wear/pathani-suit-set~type/pr?sid=2oq,s9b,3a0&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/mens-clothing/ethnic-wear/pathani-suit-set_type/pre3ba.html	(from https://www.flipkart.com/)
12:32:31	896975/896975	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:32%20GMT	https://www.flipkart.com/women/dresses/pr?sid=2oq,c1r,ha6,xzt,3y0&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/women/dresses/pr3b79.html	(from https://www.flipkart.com/)
12:32:33	459701/459701	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:35%20GMT	https://www.flipkart.com/mens-clothing/ethnic-wear/sherwanis/pr?sid=2oq,s9b,3a0,rfj&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/mens-clothing/ethnic-wear/sherwanis/pr1554.html	(from https://www.flipkart.com/)
12:32:35	532411/532411	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:36%20GMT	https://www.flipkart.com/womens-clothing/western-wear/dresses-skirts/jumpsuits/pr?sid=2oq,c1r,ha6,xzt,y4r&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/womens-clothing/western-wear/dresses-skirts/jumpsuits/pr0994.html	(from https://www.flipkart.com/)
12:32:37	567473/567473	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:38%20GMT	https://www.flipkart.com/salwar-suits/pr?sid=2oq,c1r,3pj,qlq&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/salwar-suits/pr0d2a.html	(from https://www.flipkart.com/)
